1,12,3,13
6,2,3,4
6,2,3,4
15,2,3,4
1,79,25,27,80
1,79,8,9,80
15,12,3,13
14,12,3,13
5,82,25,27,83
15,82,8,9,83
1,12,3,13
6,12,3,13
5,12,3,13
14,12,3,13
15,91,19,92
6,12,3,13
1,12,3,13
5,12,3,13
6,12,25,90,13
14,47,19,93
5,47,19,94
5,47,8,9,94
5,47,8,9,93
6,12,25,27,13
14,71,19,95
1,71,8,9,95
14,29,3,30
6,86,25,27,87
5,86,8,9,87
14,2,3,4
1,2,3,4
6,2,3,4
6,2,3,4
6,2,3,4
14,2,3,4
6,96,19,97
14,98,19,99
1,2,3,4
14,2,3,4
5,2,3,4
6,54,8,9,100
1,2,3,4
6,2,3,4
5,2,3,4
1,91,25,27,92
1,91,8,9,92
15,35,19,101
15,2,3,4
15,2,3,4
1,2,3,4
6,52,19,102
14,84,19,103
6,2,3,4
14,84,8,9,103
14,52,8,9,102
6,2,3,4
5,2,3,4
6,71,8,9,72
1,2,3,4
6,2,3,4
1,2,3,4
6,35,19,104
5,35,19,105
14,35,8,9,105
6,35,8,9,104
1,2,3,4
5,2,3,4
1,2,3,4
14,2,3,4
14,2,3,4
5,2,3,4
6,96,25,27,97
5,96,8,9,97
15,98,25,27,99
5,98,8,9,99
1,2,3,4
14,2,3,4
15,2,3,4
5,29,3,30
14,2,3,4
5,2,3,4
14,2,3,4
14,84,8,9,85
1,35,25,27,101
6,35,8,9,101
5,35,19,106
1,35,8,9,106
14,2,3,4
6,2,3,4
14,2,3,4
15,2,3,4
6,2,3,4
6,2,3,4
15,2,3,4
15,2,3,4
15,2,3,4
15,2,3,4
6,2,3,4
14,2,3,4
5,2,3,4
14,2,3,4
6,2,3,4
14,47,19,107
1,2,3,4
1,2,3,4
15,2,3,4
15,2,3,4
6,2,3,4
1,2,3,4
5,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
15,29,3,30
6,2,3,4
15,108,19,109
6,2,3,4
14,2,3,4
1,2,3,4
6,47,19,110
6,47,8,9,110
5,2,3,4
1,2,3,4
1,2,3,4
14,2,3,4
5,2,3,4
15,2,3,4
1,2,3,4
1,2,3,4
6,2,3,4
14,111,3,112
15,47,19,113
5,47,8,9,113
15,111,25,27,112
6,2,3,4
1,2,19,114
1,2,3,4
14,2,3,4
14,2,3,4
15,2,3,4
15,2,3,4
5,60,19,115
1,47,3,107
6,47,19,116
1,47,3,107
5,2,3,4
6,2,3,4
14,47,19,117
1,47,19,118
15,47,3,107
1,47,25,26,107
5,47,8,9,107
1,47,8,9,118
14,47,8,9,117
1,47,8,9,116
6,2,3,4
14,108,25,27,109
1,108,8,9,109
1,2,3,4
6,2,3,4
14,2,3,4
5,2,3,4
15,2,3,4
14,2,3,4
14,2,3,4
6,2,3,4
14,2,3,4
15,2,3,4
5,2,3,4
1,2,3,4
5,2,3,4
5,2,3,4
5,2,3,4
1,119,19,120
14,121,19,122
6,2,3,4
5,2,3,4
1,2,3,4
1,2,3,4
6,2,3,4
15,2,3,4
5,2,3,4
6,2,3,4
14,2,3,4
1,2,3,4
5,2,3,4
5,2,3,4
6,123,19,124
14,2,3,4
1,2,3,4
1,2,3,4
14,2,3,4
1,2,3,4
5,2,3,4
5,2,3,4
14,2,3,4
1,2,3,4
14,119,25,27,120
14,119,8,9,120
1,121,25,27,122
5,121,8,9,122
1,2,3,4
5,2,3,4
5,2,3,4
14,125,19,126
1,127,19,128
5,2,3,4
5,2,3,4
1,2,3,4
15,29,3,30
14,29,3,30
15,29,3,30
5,29,3,30
5,29,25,46,30
5,29,8,9,30
14,2,3,4
5,2,3,4
1,2,3,4
6,2,3,4
15,2,3,4
15,2,3,4
14,129,19,130
1,123,25,27,124
14,123,8,9,124
1,2,3,4
5,2,3,4
5,2,3,4
1,2,3,4
5,2,3,4
14,2,3,4
14,2,3,4
1,2,3,4
14,2,8,9,114
1,29,19,131
14,2,3,4
6,2,3,4
6,2,3,4
14,60,8,9,115
15,132,19,133
14,132,19,134
15,2,3,4
14,2,3,4
14,2,3,4
6,127,25,27,128
6,127,8,9,128
5,2,3,4
6,2,3,4
14,2,3,4
1,135,19,136
6,2,3,4
14,2,3,4
14,2,3,4
6,137,19,138
6,2,3,4
14,2,3,4
14,2,3,4
14,125,19,139
5,140,19,141
6,2,3,4
1,2,3,4
14,2,3,4
14,18,19,142
5,18,19,143
6,18,19,144
5,18,8,9,144
15,18,8,9,143
15,18,8,9,142
14,140,19,145
1,2,3,4
5,2,3,4
14,2,3,4
5,2,3,4
5,2,3,4
1,2,3,4
6,146,19,147
1,146,19,148
5,2,3,4
1,2,3,4
5,2,3,4
14,129,19,149
5,2,3,4
5,2,3,4
1,2,3,4
